# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA2	ENSG00000107331	ENST00000265662	protein_coding	0	6	1	22	1	0	0	0	1	0	15	1	0	0	0	0	0	6	5
ABCA2	ENSG00000107331	ENST00000341511	protein_coding	0	6	1	22	1	0	0	0	1	0	15	1	0	0	0	0	0	6	5
ABCA2	ENSG00000107331	ENST00000371605	protein_coding	0	6	1	22	1	0	0	0	1	0	15	1	0	0	0	0	0	6	5
ABCA2	ENSG00000107331	ENST00000398207	retained_intron	0	0	0	16	0	0	0	0	8	0	1	0	2	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000425423	retained_intron	0	0	0	11	0	0	0	0	6	0	0	0	0	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000431584	retained_intron	0	0	0	15	0	0	0	0	6	0	1	0	1	0	0	0	0	0	7
ABCA2	ENSG00000107331	ENST00000437791	processed_transcript	0	0	0	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000459850	retained_intron	0	0	0	29	0	0	0	0	1	0	15	0	8	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000463603	retained_intron	0	0	0	12	0	0	0	0	6	0	0	0	1	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000464157	processed_transcript	0	0	0	10	0	0	0	0	2	0	0	0	3	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000464520	retained_intron	0	0	0	11	0	0	0	0	1	0	4	0	1	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000464876	retained_intron	0	0	0	18	0	0	0	0	7	0	2	0	4	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000466707	retained_intron	0	0	0	15	0	0	0	0	6	0	1	0	2	0	0	0	0	0	6
ABCA2	ENSG00000107331	ENST00000467624	retained_intron	0	0	0	13	0	0	0	0	7	0	0	0	0	0	0	0	0	0	6
ABCA2	ENSG00000107331	ENST00000470535	nonsense_mediated_decay	0	0	0	15	1	0	0	0	8	0	1	0	1	0	0	0	0	0	4
ABCA2	ENSG00000107331	ENST00000476211	retained_intron	0	0	0	16	0	0	0	0	8	0	1	0	2	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000479446	nonsense_mediated_decay	0	0	0	26	2	0	0	0	1	0	12	0	5	0	0	0	0	0	6
ABCA2	ENSG00000107331	ENST00000487109	nonsense_mediated_decay	0	0	0	32	3	0	0	0	1	0	15	0	8	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000488535	nonsense_mediated_decay	0	0	0	23	0	0	0	0	8	0	7	0	2	0	0	0	0	0	6
ABCA2	ENSG00000107331	ENST00000490486	protein_coding	0	0	0	12	0	0	0	0	2	0	4	0	0	0	0	0	0	0	6
ABCA2	ENSG00000107331	ENST00000492260	retained_intron	0	0	0	20	0	0	0	0	9	0	3	0	3	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000494046	retained_intron	0	0	0	17	0	0	0	0	7	0	2	0	3	0	0	0	0	0	5
ABCA2	ENSG00000107331	ENST00000614293	protein_coding	0	6	1	22	1	0	0	0	1	0	15	1	0	0	0	0	0	6	5
ABCA2	ENSG00000107331	ENST00000625103	protein_coding	0	0	0	13	0	0	0	0	8	0	0	0	0	0	0	0	0	0	5
ABL1	ENSG00000097007	ENST00000318560	protein_coding	0	3	0	9	1	0	2	0	1	0	5	0	0	0	0	0	0	3	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	0	3	0	13	0	0	0	0	2	0	11	0	0	0	0	0	0	3	0
ABL1	ENSG00000097007	ENST00000393293	protein_coding	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
ABO	ENSG00000175164	ENST00000453660	processed_transcript	0	0	0	14	0	0	0	0	1	0	8	0	5	0	0	0	0	0	0
ABO	ENSG00000175164	ENST00000538324	protein_coding	1	0	0	12	0	0	0	0	4	0	9	0	0	1	1	0	0	0	0
ABO	ENSG00000175164	ENST00000611156	protein_coding	1	0	0	12	0	0	0	0	4	0	9	0	0	1	1	0	0	0	0
ABO	ENSG00000175164	ENST00000647353	processed_transcript	0	0	0	14	0	0	0	0	1	0	13	0	0	0	0	0	0	0	0
ABO	ENSG00000175164	ENST00000651471	processed_transcript	0	0	0	13	0	0	0	0	4	0	9	0	0	0	0	0	0	0	0
AC002101.1	ENSG00000261018	ENST00000564021		0	0	0	8	0	0	0	0	2	0	3	0	0	0	0	0	0	0	3
AC174065.1	ENSG00000262075	ENST00000573103		0	0	0	12	0	0	0	0	0	0	0	0	2	0	0	0	0	0	10
AC174065.1	ENSG00000262075	ENST00000601276		0	0	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4
ADAMTS13	ENSG00000160323	ENST00000355699	protein_coding	0	8	3	27	0	0	0	0	3	0	24	3	0	0	0	1	0	7	1
ADAMTS13	ENSG00000160323	ENST00000356589	protein_coding	0	8	3	27	0	0	0	0	3	0	24	3	0	0	0	1	0	7	1
ADAMTS13	ENSG00000160323	ENST00000371910	protein_coding	0	1	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	1	3
ADAMTS13	ENSG00000160323	ENST00000371911	protein_coding	0	4	1	11	0	0	0	0	5	0	6	1	0	0	0	1	0	3	1
ADAMTS13	ENSG00000160323	ENST00000371916	protein_coding	0	3	2	34	2	1	4	0	3	0	25	2	0	0	0	1	0	1	1
ADAMTS13	ENSG00000160323	ENST00000371929	protein_coding	0	8	3	27	0	0	0	0	3	0	24	3	0	0	0	1	0	7	1
ADAMTS13	ENSG00000160323	ENST00000474918	nonsense_mediated_decay	0	1	0	34	4	0	0	0	3	0	19	0	8	0	0	1	0	0	1
ADAMTS13	ENSG00000160323	ENST00000485925	processed_transcript	0	1	0	47	0	0	0	0	3	0	30	0	7	0	0	1	0	0	8
ADAMTS13	ENSG00000160323	ENST00000495234	nonsense_mediated_decay	0	1	0	38	5	0	0	0	4	0	20	0	9	0	0	1	0	0	1
ADAMTSL2	ENSG00000197859	ENST00000354484	protein_coding	0	5	0	65	1	0	0	0	8	0	56	0	0	0	0	0	0	5	0
ADAMTSL2	ENSG00000197859	ENST00000393060	protein_coding	0	5	0	65	1	0	0	0	8	0	53	0	0	0	0	0	0	5	3
ADAMTSL2	ENSG00000197859	ENST00000393061	protein_coding	0	5	0	65	1	0	0	0	8	0	53	0	0	0	0	0	0	5	3
ADAMTSL2	ENSG00000197859	ENST00000651351	protein_coding	0	5	0	65	1	0	0	0	8	0	53	0	0	0	0	0	0	5	3
AGPAT2	ENSG00000169692	ENST00000371694	protein_coding	0	0	1	17	2	0	0	0	3	0	8	1	0	0	0	0	0	0	4
AGPAT2	ENSG00000169692	ENST00000371696	protein_coding	0	0	1	17	2	0	0	0	3	0	8	1	0	0	0	0	0	0	4
AGPAT2	ENSG00000169692	ENST00000470861	retained_intron	0	0	0	16	0	0	0	0	5	0	6	0	1	0	0	0	0	0	4
AGPAT2	ENSG00000169692	ENST00000472820	retained_intron	0	0	0	8	0	0	0	0	5	0	2	0	0	0	0	0	0	0	1
AGPAT2	ENSG00000169692	ENST00000538402	protein_coding	0	0	1	17	1	0	0	0	3	0	9	1	0	0	0	0	0	0	4
AIF1L	ENSG00000126878	ENST00000247291	protein_coding	0	0	0	16	2	0	0	0	0	0	8	0	0	0	0	0	0	0	6
AIF1L	ENSG00000126878	ENST00000372297	protein_coding	0	0	0	13	0	0	0	0	2	0	8	0	0	0	0	0	0	0	3
AIF1L	ENSG00000126878	ENST00000372298	protein_coding	0	0	0	16	0	0	0	0	0	0	10	0	0	0	0	0	0	0	6
AIF1L	ENSG00000126878	ENST00000372300	protein_coding	0	0	0	16	2	0	0	0	0	0	8	0	0	0	0	0	0	0	6
AIF1L	ENSG00000126878	ENST00000372301	protein_coding	0	0	0	9	0	0	2	0	2	0	4	0	0	0	0	0	0	0	1
